cylinders, horsepower, model_year, mpg,
8,130,70,1, 
8,165,70,1, 
8,150,70,1, 
8,150,70,1, 
8,140,70,1, 
8,198,70,1, 
8,215,70,1, 
8,190,70,1, 
8,170,70,1, 
8,160,70,1, 
8,150,70,1, 
4,95,70,3, 
6,95,70,1, 
6,97,70,1, 
6,85,70,1, 
4,88,70,3, 
4,46,70,2, 
4,87,70,2, 
4,90,70,2, 
4,95,70,2, 
4,113,70,2, 
6,90,70,1, 
8,215,70,1, 
8,200,70,1, 
8,210,70,1, 
8,193,70,1, 
4,88,71,3, 
4,90,71,1, 
4,95,71,3, 
6,100,71,1, 
6,105,71,1, 
6,100,71,1, 
6,88,71,1, 
6,100,71,1, 
8,165,71,1, 
8,175,71,1, 
8,153,71,1, 
8,150,71,1, 
8,180,71,1, 
8,170,71,1, 
8,175,71,1, 
6,110,71,1, 
4,72,71,1, 
6,100,71,1, 
6,88,71,1, 
4,86,71,1, 
4,90,71,2, 
4,70,71,2, 
4,76,71,2, 
4,65,71,3, 
4,69,71,3, 
4,60,71,2, 
4,70,71,1, 
4,95,72,3, 
4,80,72,1, 
4,54,72,2, 
4,90,72,1, 
4,86,72,1, 
8,165,72,1, 
8,175,72,1, 
8,150,72,1, 
8,153,72,1, 
8,150,72,1, 
8,208,72,1, 
8,155,72,1, 
8,160,72,1, 
8,190,72,1, 
3,97,72,3, 
8,150,72,1, 
8,130,72,1, 
8,140,72,1, 
8,150,72,1, 
4,112,72,2, 
4,76,72,2, 
4,87,72,2, 
4,69,72,2, 
4,86,72,1, 
4,92,72,3, 
4,97,72,3, 
4,80,72,1, 
4,88,72,3, 
8,175,73,1, 
8,150,73,1, 
8,145,73,1, 
8,137,73,1, 
8,150,73,1, 
8,198,73,1, 
8,150,73,1, 
8,158,73,1, 
8,150,73,1, 
8,215,73,1, 
8,175,73,1, 
6,105,73,1, 
6,100,73,1, 
6,100,73,1, 
6,88,73,1, 
6,95,73,1, 
4,46,73,2, 
8,150,73,1, 
8,167,73,1, 
8,170,73,1, 
8,180,73,1, 
6,100,73,1, 
4,88,73,3, 
4,72,73,1, 
4,94,73,3, 
3,90,73,3, 
4,85,73,1, 
6,107,73,1, 
4,90,73,2, 
8,145,73,1, 
4,49,73,2, 
4,75,73,2, 
4,91,73,2, 
4,112,73,2, 
8,150,73,1, 
4,110,73,2, 
6,122,73,3, 
8,180,73,1, 
6,95,74,1, 
6,100,74,1, 
6,100,74,1, 
4,67,74,3, 
4,80,74,1, 
4,65,74,3, 
4,75,74,1, 
6,100,74,1, 
6,110,74,1, 
6,105,74,1, 
8,140,74,1, 
8,150,74,1, 
8,150,74,1, 
8,140,74,1, 
8,150,74,1, 
4,83,74,2, 
4,67,74,2, 
4,78,74,2, 
4,52,74,3, 
4,61,74,3, 
4,75,74,1, 
4,75,74,2, 
4,75,74,2, 
4,97,74,3, 
4,93,74,3, 
4,67,74,2, 
6,95,75,1, 
6,105,75,1, 
6,72,75,1, 
6,72,75,1, 
8,170,75,1, 
8,145,75,1, 
8,150,75,1, 
8,148,75,1, 
6,110,75,1, 
6,105,75,1, 
6,110,75,1, 
6,95,75,1, 
6,110,75,1, 
8,110,75,1, 
8,129,75,1, 
4,75,75,3, 
4,83,75,1, 
6,100,75,1, 
4,78,75,1, 
4,96,75,3, 
4,71,75,2, 
4,97,75,3, 
6,97,75,1, 
4,70,75,2, 
6,90,75,1, 
4,95,75,2, 
4,88,75,2, 
4,98,75,2, 
4,115,75,2, 
4,53,75,3, 
4,86,76,2, 
4,81,76,2, 
4,92,76,1, 
4,79,76,1, 
4,83,76,2, 
8,140,76,1, 
8,150,76,1, 
8,120,76,1, 
8,152,76,1, 
6,100,76,1, 
6,105,76,1, 
6,81,76,1, 
6,90,76,1, 
4,52,76,1, 
4,60,76,1, 
4,70,76,2, 
4,53,76,3, 
6,100,76,1, 
6,78,76,1, 
6,110,76,1, 
6,95,76,1, 
4,71,76,2, 
4,70,76,3, 
4,75,76,3, 
4,72,76,1, 
4,102,76,2, 
8,150,76,1, 
4,88,76,2, 
6,108,76,3, 
6,120,76,2, 
8,180,76,1, 
8,145,76,1, 
8,130,76,1, 
8,150,76,1, 
4,68,77,3, 
4,80,77,1, 
4,58,77,2, 
4,96,77,1, 
4,70,77,3, 
8,145,77,1, 
8,110,77,1, 
8,145,77,1, 
8,130,77,1, 
6,110,77,1, 
6,105,77,1, 
6,100,77,1, 
6,98,77,1, 
8,180,77,1, 
8,170,77,1, 
8,190,77,1, 
8,149,77,1, 
4,78,77,2, 
